question_id,question,answer_choice_a,answer_choice_b,answer_choice_c,answer_choice_d,correct_answer
1,What planet is closest to the sun?,Venus,Mercury,Mars,Earth,B
2,How many sides does a hexagon have?,5,7,6,8,C
3,What is the capital of Japan?,Beijing,Seoul,Bangkok,Tokyo,D
4,Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D
5,How many continents are on Earth?,5,6,7,8,C
6,What is the chemical symbol for water?,CO2,H2O,O2,HO,B
7,Who wrote Romeo and Juliet?,Charles Dickens,Mark Twain,William Shakespeare,Jane Austen,C
8,How many hours are in a day?,12,48,36,24,D
9,What color do you get when you mix red and white?,Orange,Purple,Pink,Brown,C
10,What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Great White Shark,B
11,How many days are in a leap year?,363,364,365,366,D
12,What is the fastest land animal?,Lion,Cheetah,Horse,Greyhound,B
13,Which planet is known as the Red Planet?,Jupiter,Venus,Mars,Saturn,C
14,How many bones are in the adult human body?,198,206,212,224,B
15,What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,D
16,Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C
17,How many players are on a standard soccer team?,9,10,11,12,C
18,What is the largest country by land area?,Canada,China,United States,Russia,D
19,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
20,What is the smallest planet in our solar system?,Mars,Mercury,Pluto,Neptune,B
21,How many strings does a standard guitar have?,4,5,6,7,C
22,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C
23,Which element has the chemical symbol Au?,Silver,Gold,Aluminum,Copper,B
24,How many seconds are in one minute?,30,45,100,60,D
25,What is the hardest natural substance on Earth?,Ruby,Diamond,Quartz,Granite,B
26,Which country is home to the Great Wall?,Japan,India,China,South Korea,C
27,How many teeth does an adult human have?,28,30,32,34,C
28,What is the capital of Brazil?,Buenos Aires,Lima,Brasilia,Rio de Janeiro,C
29,Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,B
30,What year did World War II end?,1943,1944,1946,1945,D
